HGNC_SYMBOL	GENE
ADRB3	ADRB3
GRK2	ADRBK1
GRK3	ADRBK2
ADRB2	ADRBR
HTR1A	ADRBRL1
ABCD1	adrenoleukodystrophy
ADRM1	ADRM1
PLIN2	ADRP
FAM213A	Adrx
RNF170	ADSA
RETN	ADSF
ADSL	ADSL
ADSS	ADSS
ADSSL1	ADSSL1
AP2A1	ADTAA
AP2A2	ADTAB
AP1B1	ADTB1
AP2B1	ADTB2
AP3B1	ADTB3A
AP3D1	ADTD
AP1G1	ADTG
ADTRP	ADTRP
AVIL	ADVIL
FDX1	ADX
FDXR	ADXR
NBPF9	AE01
SLC4A1	AE1
NBPF3	AE2
SLC4A2	AE2
SLC4A3	AE3
SLC4A9	AE4
AEBP1	AEBP1
AEBP2	AEBP2
MTDH	AEG-1
CRISP3	Aeg2
CRISP1	AEGL1
MAMDC4	AEGP
KCNA1	AEMK
AEN	AEN
SPATA32	AEP2
BACE2	AEPLC
EOGT	AER61
AES	AES
SLC39A4	AEZ
PSMD4	AF
IFNGR2	AF-1
PSMD4	AF-1
EPS15	AF-1P
AFF1	AF-4
AFDN	AF-6
MLLT3	AF-9
ZNF544	AF020591
EFNA5	AF1
MLLT10	AF10
KNL1	AF15Q14
MLLT6	AF17
SEPT9	AF17q25
MLLT11	AF1Q
NCKIPSD	AF3P21
AFF1	AF4
FRYL	AF4p12
AFF4	AF5Q31
AFDN	AF6
FOXO3	AF6q21
MLLT3	AF9
DAB2IP	AF9Q34
EQTN	AFAF
AFAP1	AFAP
AFAP1	AFAP-110
AFAP1	AFAP1
AFAP1L1	AFAP1L1
AFAP1L2	AFAP1L2
AKR7A2	AFAR
AKR7L	AFAR3
IGFBP1	AFBP
CAPG	AFCP
AFDN	AFDN
AFF1	AFF1
AFF2	AFF2
AFF3	AFF3
AFF4	AFF4
AFG1L	AFG1
AFG1L	AFG1L
SPATA5	AFG2
AFG3L2	AFG3L2
FGF1	AFGF
DENND6A	AFI1A
DENND6B	AFI1B
AFM	AFM
AFMID	AFMID
AFP	AFP
ADIRF	AFRO
CMTR2	AFT
AFTPH	AFTPH
ATP13A3	AFURS1
FOXO4	AFX1
NBPF10	AG1
AGR2	AG2
C11orf96	AG2
AGTR1	AG2S
AGA	AGA
AGAP1	AGAP1
AGAP2	AGAP2
AGAP3	AGAP3
AGAP4	AGAP4
AGAP5	AGAP5
AGAP6	AGAP6
AGAP4	AGAP8
AGAP9	AGAP9
NAGS	AGAS
GATM	AGAT
AGBL1	AGBL1
AGBL2	AGBL2
AGBL3	AGBL3
AGBL4	AGBL4
AGBL5	AGBL5
ACAN	AGC1
C12orf75	AGD3
AGER	AGER
